Tienda,ID,Producto,Precio,imgUrl
Superama,110,loncheado de presa de cerdo cinco jotas  80 g,340.00,http://www.superama.com.mx/Content/images/products/img_large/0841046800207L.jpg
Superama,111,papas sabritas gourmet sabor jamón serrano 150 g,36.00,http://www.superama.com.mx/Content/images/products/img_large/0750101113130L.jpg
Superama,112,paté hígado de cerdo louriño  de jamón 125 g,37.00,http://www.superama.com.mx/Content/images/products/img_large/0841176950005L.jpg
Superama,113,pechuga de pavo fud  250 g,40.00,http://www.superama.com.mx/Content/images/products/img_large/0750104000116L.jpg
Superama,114,pechuga de pavo san rafael  clásica 250 g,62.00,http://www.superama.com.mx/Content/images/products/img_large/0750104000012L.jpg
Superama,115,pechuga de pavo san rafael balance 250 g,55.00,http://www.superama.com.mx/Content/images/products/img_large/0750104000159L.jpg
Superama,116,pechuga de pavo san rafael bernina sin sal 200 g,84.50,http://www.superama.com.mx/Content/images/products/img_large/0750104007675L.jpg
Superama,117,pechuga de pavo tangamanga  250 g,89.50,http://www.superama.com.mx/Content/images/products/img_large/0750157625155L.jpg
Superama,118,pechuga de pavo san rafael bernina cocida y ahumada 300 g,113.00,http://www.superama.com.mx/Content/images/products/img_large/0750170373090L.jpg
La Comer,0,Racion jamon iberico   sierra del jamon,265.00,https://www.lacomer.com.mx/superc/img_art/8435213312008_3.jpg
La Comer,1,Jamon serrano serrano coren,72.00,https://www.lacomer.com.mx/superc/img_art/8411769180452_3.jpg
La Comer,2,Jamon horneado kir,97.90,https://www.lacomer.com.mx/superc/img_art/2621029000000_3.jpg
La Comer,3,Jamon de pierna horneado sin sal   penaranda,300.00,https://www.lacomer.com.mx/superc/img_art/2623630000004_3.jpg
La Comer,4,Pate de jamon lourio lourino,47.00,https://www.lacomer.com.mx/superc/img_art/8411769500052_3.jpg
La Comer,5,Jamon pavo yarden,120.38,https://www.lacomer.com.mx/superc/img_art/7501134500655_3.jpg
La Comer,6,Baguette jamon de pavo    ,34.50,https://www.lacomer.com.mx/superc/img_art/2655763000002_3.jpg
La Comer,7,Croquetas de jamon   f/m,110.00,https://www.lacomer.com.mx/superc/img_art/2650466000007_3.jpg
La Comer,8,Jamon virginia bafar,106.00,https://www.lacomer.com.mx/superc/img_art/2620144000001_3.jpg
La Comer,9,Racion jamon iberico   sierra del jamon,265.00,https://www.lacomer.com.mx/superc/img_art/8435213312008_3.jpg
La Comer,10,Jamon serrano serrano coren,72.00,https://www.lacomer.com.mx/superc/img_art/8411769180452_3.jpg
La Comer,11,Jamon horneado kir,97.90,https://www.lacomer.com.mx/superc/img_art/2621029000000_3.jpg
